stationid,name,city,landkreis,lat,lon,address
91,Neuer Wall,Hamburg,02000,53.5526734,9.9929485,"Neuer Wall, Neustadt, Hamburg, 20354, Deutschland"
92,Jungfernstieg,Hamburg,02000,53.5520952,9.9933974,"Jungfernstieg, Alsterarkaden, Neustadt, Hamburg, 20354, Deutschland"
93,Große Bleichen,Hamburg,02000,53.5521001,9.9868267,"Große Bleichen, Neustadt, Hamburg, 20354, Deutschland"
93,Große Bleichen,Hamburg,02000,53.5521001,9.9868267,"Große Bleichen, Neustadt, Hamburg, 20354, Deutschland"
94,Kurfürstendamm Nordseite (Ost),Berlin,11000,52.5037608,13.3299456,"Berlin, Kurfürstendamm, Charlottenburg, Charlottenburg-Wilmersdorf, 10719, Deutschland"
94,Kurfürstendamm Nordseite (Ost),Berlin,11000,52.5037608,13.3299456,"Berlin, Kurfürstendamm, Charlottenburg, Charlottenburg-Wilmersdorf, 10719, Deutschland"
95,Planken (Mitte),Mannheim,08222,49.4861403,8.4703402,"Planken, Filsbach, Innenstadt, Innenstadt/Jungbusch, Mannheim, Baden-Württemberg, 68161, Deutschland"
96,Planken (Ost),Mannheim,08222,49.4861403,8.4703402,"Planken, Filsbach, Innenstadt, Innenstadt/Jungbusch, Mannheim, Baden-Württemberg, 68161, Deutschland"
97,Kurfürstendamm Südseite (Ost),Berlin,11000,52.5037608,13.3299456,"Berlin, Kurfürstendamm, Charlottenburg, Charlottenburg-Wilmersdorf, 10719, Deutschland"
98,Tauentzienstraße Südseite (West),Berlin,11000,52.5034002,13.3386373,"Berlin, Tauentzienstraße, Charlottenburg, Berlin, 10789, Deutschland"
100,Rothenburg,Münster,05515,51.9609497,7.6270115,"Rothenburg, Dom, Altstadt, Münster-Mitte, Münster, Nordrhein-Westfalen, 48143, Deutschland"
102,Bürgermeister-Fischer-Straße,Augsburg,09761,48.3665013,10.8949559,"Bürgermeister-Fischer-Straße, Innenstadt, St. Ulrich-Dom, Innenstadt, Augsburg, Bayern, 86150, Deutschland"
103,Schuchardstraße,Darmstadt,06411,49.8715225,8.6530036,"Schuchardstraße, Stadtzentrum, Darmstadt-Mitte, Darmstadt, Hessen, 64283, Deutschland"
104,Ernst-Ludwig-Straße,Darmstadt,06411,49.8723399,8.6536802,"Ernst-Ludwig-Straße, Stadtzentrum, Darmstadt-Mitte, Darmstadt, Hessen, 64283, Deutschland"
107,Krahnstraße (Süd),Osnabrück,03404,52.2766517,8.0417897,"Krahnstraße, Altstadt, Innenstadt, Osnabrück, Niedersachsen, 49074, Deutschland"
108,Große Straße (Mitte),Osnabrück,03404,52.27441065,8.047358647706904,"Große Straße, Altstadt, Innenstadt, Osnabrück, Niedersachsen, 49074, Deutschland"
